Rating,AccountId,NumberOfCustomers,NetValueCalculated,Number of transactions,SAPRelation,NumberOfEmployees,Industry
B,13010356,1,499.0,1,Consultant,>250,Financial Services
C,1105923,1,543.59,1,Consultant,>250,Energy and Natural Resources
C,28746490,1,869.0,1,Customer,250>x>50,Consumer Industries
C,1085544,1,1170.0,1,Consultant,>250,Energy and Natural Resources
B,173647,1,1800.0,1,Customer,<50,Service Industries
A,10124540,1,8015.71,1,Press/Analyst,>250,Energy and Natural Resources
C,1152054,1,0.0,1,Consultant,>250,Financial Services
C,11653258,1,0.0,1,Consultant,>250,Financial Services
C,28058318,1,51.97,1,Customer,250>x>50,Service Industries
C,3422400,1,51.97,1,Prospective Customer,250>x>50,Public Services
C,24339627,1,58.41,1,Customer,<50,Service Industries
C,7443024,1,58.41,1,Prospective Customer,250>x>50,Discrete Industries
C,36185,1,58.92,1,Prospective Customer,250>x>50,Public Services
C,162530,1,61.02,1,Customer,<50,Service Industries
C,10582609,1,61.33,1,Consultant,>250,Energy and Natural Resources
C,26248908,1,63.0,1,Customer,250>x>50,Service Industries
C,27363714,1,69.63,1,Customer,250>x>50,Service Industries
C,23947825,1,99.96,1,Customer,<50,Service Industries
C,26481945,1,103.95,1,Customer,250>x>50,Service Industries
C,1209329,1,116.82,1,Consultant,>250,Financial Services
C,9662954,1,128.7,1,Prospective Customer,250>x>50,Discrete Industries
C,27309718,1,143.11,1,Customer,250>x>50,Service Industries
C,163197,1,150.99,1,Customer,<50,Service Industries
C,6853201,1,155.92,1,Prospective Customer,250>x>50,Discrete Industries
C,18495204,1,250.0,1,Customer,<50,Service Industries
C,26141958,1,250.0,1,Customer,250>x>50,Service Industries
C,28751690,1,377.54,1,Customer,250>x>50,Consumer Industries
C,206710,1,419.49,1,Customer,<50,Service Industries
C,24472009,1,419.49,1,Customer,<50,Service Industries
C,28733982,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28754524,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28754981,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28755497,1,419.49,1,Customer,250>x>50,Consumer Industries
C,5414834,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,28755489,1,431.1,1,Customer,250>x>50,Consumer Industries
C,28749583,1,479.0,1,Customer,250>x>50,Consumer Industries
C,17382259,1,512.33,1,Customer,<50,Service Industries
C,1098180,1,588.0,1,Consultant,>250,Energy and Natural Resources
C,28748802,1,749.03,1,Customer,250>x>50,Consumer Industries
C,4858236,1,755.08,1,Prospective Customer,250>x>50,Discrete Industries
B,28715574,1,1620.3200000000002,1,Customer,250>x>50,Consumer Industries
B,174214,1,1098.31,1,Customer,<50,Service Industries
A,1224686,1,1752.33,1,Consultant,>250,Financial Services
B,7657012,1,2124.24,1,Prospective Customer,250>x>50,Discrete Industries
A,274945,1,5121.21,1,Customer,250>x>50,Service Industries
C,166763,1,0.0,1,Customer,250>x>50,Service Industries
C,4840808,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,36031,1,58.47,1,Prospective Customer,250>x>50,Public Services
C,5852005,1,250.0,1,Prospective Customer,250>x>50,Discrete Industries
C,28760882,1,327.81,1,Customer,250>x>50,Consumer Industries
B,25741096,1,419.49,1,Customer,250>x>50,Service Industries
B,27538590,1,669.49,1,Customer,250>x>50,Service Industries
C,28761219,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28762160,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28762163,1,419.49,1,Customer,250>x>50,Consumer Industries
B,15473085,1,512.12,1,Customer,250>x>50,Service Industries
C,28760866,1,479.0,1,Customer,250>x>50,Consumer Industries
C,28762165,1,679.58,1,Customer,250>x>50,Consumer Industries
C,28759525,1,755.08,1,Customer,250>x>50,Consumer Industries
B,16390916,1,1800.0,1,Customer,<50,Service Industries
C,4513494,1,60.0,1,Prospective Customer,250>x>50,Discrete Industries
C,28761270,1,419.49,1,Customer,250>x>50,Consumer Industries
C,244632,1,132.2,1,Customer,<50,Service Industries
B,3943735,1,1800.0,1,Prospective Customer,250>x>50,Discrete Industries
A,3189739,1,4368.93,1,Prospective Customer,250>x>50,Public Services
C,27351291,1,60.0,1,Customer,250>x>50,Service Industries
C,28092744,1,60.0,1,Customer,250>x>50,Service Industries
C,4825434,1,60.0,1,Prospective Customer,250>x>50,Discrete Industries
C,1186430,1,122.73,1,Consultant,>250,Financial Services
C,161804,1,160.17,1,Customer,<50,Service Industries
C,27696039,1,179.0,1,Customer,250>x>50,Service Industries
C,7180478,1,250.0,1,Prospective Customer,250>x>50,Discrete Industries
B,8626145,1,1120.49,1,Prospective Customer,250>x>50,Discrete Industries
C,1247971,1,271.79,1,Consultant,>250,Financial Services
C,28766610,1,327.81,1,Customer,250>x>50,Consumer Industries
C,6875189,1,356.57,1,Prospective Customer,250>x>50,Discrete Industries
C,28766683,1,377.54,1,Customer,250>x>50,Consumer Industries
C,28766685,1,377.54,1,Customer,250>x>50,Consumer Industries
B,26541972,1,419.49,1,Customer,250>x>50,Service Industries
C,28754240,1,869.49,1,Customer,250>x>50,Consumer Industries
C,28767269,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28767300,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28768691,1,419.49,1,Customer,<50,Consumer Industries
C,4908308,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,28770257,1,512.12,1,Customer,<50,Consumer Industries
C,28765978,1,479.0,1,Customer,250>x>50,Consumer Industries
C,28766119,1,479.0,1,Customer,250>x>50,Consumer Industries
C,4439947,1,498.0,1,Prospective Customer,250>x>50,Discrete Industries
C,28766621,1,504.24,1,Customer,250>x>50,Consumer Industries
B,28767123,1,1512.72,1,Customer,250>x>50,Consumer Industries
C,28762960,1,847.9,1,Customer,250>x>50,Consumer Industries
C,28770285,1,1132.63,1,Customer,<50,Consumer Industries
B,7898230,1,1132.63,1,Prospective Customer,250>x>50,Discrete Industries
B,8483481,1,1132.63,1,Prospective Customer,250>x>50,Discrete Industries
A,26009435,1,1809.54,1,Customer,250>x>50,Service Industries
B,23964675,1,1800.0,1,Customer,<50,Service Industries
A,269418,1,10604.439999999999,1,Customer,<50,Service Industries
C,28100456,1,51.14,1,Customer,250>x>50,Service Industries
C,13150269,1,64.15,1,Consultant,>250,Financial Services
C,16847122,1,147.0,1,Customer,250>x>50,Service Industries
C,28772110,1,147.0,1,Customer,<50,Consumer Industries
C,7075464,1,147.0,1,Prospective Customer,250>x>50,Discrete Industries
C,24588884,1,245.16,1,Customer,<50,Service Industries
C,28776792,1,295.03,1,Customer,250>x>50,Consumer Industries
C,28775652,1,377.54,1,Customer,250>x>50,Consumer Industries
C,28776642,1,377.54,1,Customer,250>x>50,Consumer Industries
B,12037257,1,419.49,1,Consultant,>250,Financial Services
B,13561647,1,419.49,1,Consultant,>250,Financial Services
C,17246486,1,419.49,1,Customer,<50,Service Industries
C,17740152,1,419.49,1,Customer,<50,Service Industries
B,25726660,1,419.49,1,Customer,250>x>50,Service Industries
B,268071,1,419.49,1,Customer,250>x>50,Service Industries
C,28771897,1,419.49,1,Customer,<50,Consumer Industries
C,28774767,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28775655,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28776459,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28776633,1,419.49,1,Customer,250>x>50,Consumer Industries
C,6802811,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,28775651,1,512.12,1,Customer,250>x>50,Consumer Industries
C,28777129,1,512.12,1,Customer,250>x>50,Consumer Industries
C,1084297,1,431.1,1,Consultant,>250,Energy and Natural Resources
C,28775649,1,431.1,1,Customer,250>x>50,Consumer Industries
B,22383345,1,468.18,1,Customer,250>x>50,Service Industries
C,28772864,1,468.18,1,Customer,<50,Consumer Industries
C,28774284,1,468.18,1,Customer,250>x>50,Consumer Industries
C,2043999,1,479.0,1,Customer,<50,Service Industries
C,2994901,1,588.0,1,Prospective Partner,250>x>50,Consumer Industries
C,232911,1,600.0,1,Customer,<50,Service Industries
B,26165594,1,1080.0,1,Customer,250>x>50,Service Industries
B,26123884,1,679.58,1,Customer,250>x>50,Service Industries
C,28775658,1,755.08,1,Customer,250>x>50,Consumer Industries
C,15966791,1,968.14,1,Customer,<50,Service Industries
B,50018340,1,996.0,1,Prospective Customer,250>x>50,Discrete Industries
B,28776433,1,1132.63,1,Customer,250>x>50,Consumer Industries
A,12552572,1,1800.0,1,Consultant,>250,Financial Services
A,11964440,1,7050.0,1,Consultant,>250,Financial Services
C,21647341,1,0.0,1,Customer,250>x>50,Service Industries
C,4974492,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,24036321,1,53.39,1,Customer,<50,Service Industries
C,26767990,1,53.39,1,Customer,<50,Service Industries
C,1247271,1,55.93,1,Consultant,>250,Financial Services
C,169281,1,137.29,1,Customer,250>x>50,Service Industries
C,28787343,1,250.0,1,Customer,250>x>50,Consumer Industries
C,164779,1,264.41,1,Customer,<50,Service Industries
C,161260,1,327.81,1,Customer,<50,Service Industries
C,21411896,1,327.81,1,Customer,250>x>50,Service Industries
C,28787206,1,377.54,1,Customer,250>x>50,Consumer Industries
B,12036211,1,419.49,1,Consultant,>250,Financial Services
B,27105447,1,419.49,1,Customer,250>x>50,Service Industries
B,27269594,1,419.49,1,Customer,250>x>50,Service Industries
C,28784111,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28787284,1,419.49,1,Customer,250>x>50,Consumer Industries
C,8344989,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,28785448,1,512.12,1,Customer,250>x>50,Consumer Industries
B,12209866,1,421.36,1,Consultant,>250,Financial Services
C,6467696,1,421.36,1,Prospective Customer,250>x>50,Discrete Industries
C,1107733,1,543.9,1,Consultant,>250,Energy and Natural Resources
B,13672150,1,827.8499999999999,1,Consultant,>250,Financial Services
B,12082274,1,898.46,1,Consultant,>250,Financial Services
C,28783974,1,755.08,1,Customer,250>x>50,Consumer Industries
A,27363625,1,1132.63,1,Customer,250>x>50,Service Industries
A,25845676,1,1404.55,1,Customer,250>x>50,Service Industries
A,41580,1,7200.0,1,Prospective Customer,250>x>50,Discrete Industries
C,1102159,1,0.0,1,Consultant,>250,Energy and Natural Resources
C,27327741,1,55.93,1,Customer,250>x>50,Service Industries
C,25178317,1,56.7,1,Customer,250>x>50,Service Industries
C,28797244,1,60.0,1,Customer,250>x>50,Consumer Industries
C,28787588,1,61.02,1,Customer,250>x>50,Consumer Industries
C,3601858,1,179.0,1,Prospective Customer,250>x>50,Public Services
C,16526729,1,195.36,1,Customer,<50,Service Industries
C,28787458,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28800164,1,327.81,1,Customer,250>x>50,Consumer Industries
C,28788171,1,377.54,1,Customer,250>x>50,Consumer Industries
C,28788206,1,416.13,1,Customer,250>x>50,Consumer Industries
C,18099344,1,419.49,1,Customer,<50,Service Industries
B,24920040,1,419.49,1,Customer,250>x>50,Service Industries
B,28202282,1,419.49,1,Customer,250>x>50,Service Industries
C,28767095,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28799918,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28802636,1,419.49,1,Customer,250>x>50,Consumer Industries
C,4836077,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,28804183,1,679.58,1,Customer,250>x>50,Consumer Industries
B,27481233,1,749.03,1,Customer,250>x>50,Service Industries
B,26486755,1,755.08,1,Customer,250>x>50,Service Industries
C,1088713,1,1076.92,1,Consultant,>250,Energy and Natural Resources
B,28799921,1,1854.2399999999998,1,Customer,250>x>50,Consumer Industries
A,1192915,1,1601.66,1,Consultant,>250,Financial Services
A,1123622,1,3812.94,1,Consultant,>250,Financial Services
A,14576073,1,1800.0,1,Consultant,250>x>50,Service Industries
B,877277,1,7634.11,1,Prospective Customer,<50,Discrete Industries
A,1245856,1,7200.0,1,Consultant,>250,Financial Services
C,9160593,1,0.0,1,Prospective Customer,<50,Discrete Industries
C,23155403,1,51.14,1,Customer,<50,Service Industries
C,28811130,1,61.02,1,Customer,250>x>50,Consumer Industries
C,955058,1,176.92,1,Prospective Customer,250>x>50,Discrete Industries
C,28810814,1,225.0,1,Customer,250>x>50,Consumer Industries
B,21744827,1,473.26,1,Customer,250>x>50,Service Industries
C,28804323,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28808035,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28808037,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28811005,1,377.54,1,Customer,250>x>50,Consumer Industries
C,28811941,1,377.54,1,Customer,250>x>50,Consumer Industries
C,28808039,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28810827,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28811021,1,419.49,1,Customer,250>x>50,Consumer Industries
C,16471929,1,618.08,1,Customer,<50,Service Industries
B,1226085,1,588.0,1,Consultant,>250,Financial Services
C,3506228,1,588.0,1,Prospective Customer,250>x>50,Public Services
C,180404,1,755.08,1,Customer,<50,Service Industries
B,1140883,1,1068.48,1,Consultant,>250,Financial Services
B,1093828,1,2352.0,1,Consultant,>250,Energy and Natural Resources
A,7187831,1,3565.68,1,Prospective Customer,250>x>50,Discrete Industries
A,1118176,1,7374.84,1,Consultant,>250,Financial Services
C,859363,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,8617292,1,60.0,1,Prospective Customer,250>x>50,Discrete Industries
C,25987005,1,116.95,1,Customer,<50,Service Industries
C,28813827,1,377.54,1,Customer,250>x>50,Consumer Industries
C,28813531,1,479.0,1,Customer,250>x>50,Consumer Industries
C,7196963,1,479.0,1,Prospective Customer,250>x>50,Discrete Industries
C,164780,1,630.51,1,Customer,<50,Service Industries
C,1088273,1,147.0,1,Consultant,>250,Energy and Natural Resources
C,28819118,1,394.04,1,Customer,250>x>50,Consumer Industries
C,28819684,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28822290,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28824733,1,468.18,1,Customer,250>x>50,Consumer Industries
C,166491,1,55.93,1,Customer,<50,Service Industries
C,22851158,1,60.0,1,Customer,<50,Service Industries
C,17032090,1,62.82,1,Customer,250>x>50,Service Industries
C,23400481,1,132.2,1,Customer,<50,Service Industries
C,28831994,1,250.0,1,Customer,250>x>50,Consumer Industries
C,7197951,1,250.0,1,Prospective Customer,250>x>50,Discrete Industries
C,24942697,1,327.81,1,Customer,250>x>50,Service Industries
C,28832181,1,327.81,1,Customer,250>x>50,Consumer Industries
C,28833205,1,327.81,1,Customer,250>x>50,Consumer Industries
B,21506060,1,419.49,1,Customer,250>x>50,Service Industries
B,25144668,1,419.49,1,Customer,250>x>50,Service Industries
B,25358019,1,419.49,1,Customer,250>x>50,Service Industries
C,28829703,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28830858,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28832190,1,419.49,1,Customer,250>x>50,Consumer Industries
C,4523079,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,4569703,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,6631958,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,8456226,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,28828573,1,441.88,1,Customer,250>x>50,Consumer Industries
C,28828659,1,479.0,1,Customer,250>x>50,Consumer Industries
C,4907719,1,496.77,1,Prospective Customer,250>x>50,Discrete Industries
B,166605,1,600.0,1,Customer,250>x>50,Service Industries
C,28832188,1,679.58,1,Customer,250>x>50,Consumer Industries
C,11144220,1,1180.13,1,Consultant,>250,Energy and Natural Resources
B,2072829,1,1200.0,1,Customer,<50,Service Industries
B,28831998,1,1227.97,1,Customer,250>x>50,Consumer Industries
A,21873920,1,2097.46,1,Customer,250>x>50,Service Industries
A,7179150,1,9023.73,1,Prospective Customer,250>x>50,Discrete Industries
C,21923266,1,53.39,1,Customer,250>x>50,Service Industries
C,23783068,1,53.39,1,Customer,<50,Service Industries
C,3278633,1,179.0,1,Prospective Customer,250>x>50,Public Services
C,14639449,1,246.36,1,Customer,250>x>50,Service Industries
C,28835533,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28837965,1,250.0,1,Customer,250>x>50,Consumer Industries
B,210531,1,838.98,1,Customer,250>x>50,Service Industries
B,24861122,1,419.49,1,Customer,250>x>50,Service Industries
C,28836970,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28837998,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28838167,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28838866,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28838165,1,700.0,1,Customer,250>x>50,Consumer Industries
C,28837268,1,451.01,1,Customer,250>x>50,Consumer Industries
C,28835039,1,468.18,1,Customer,250>x>50,Consumer Industries
C,28837163,1,479.0,1,Customer,250>x>50,Consumer Industries
C,174486,1,564.24,1,Customer,<50,Service Industries
C,177146,1,590.07,1,Customer,<50,Service Industries
C,3950356,1,638.28,1,Prospective Customer,250>x>50,Discrete Industries
C,28837115,1,876.36,1,Customer,250>x>50,Consumer Industries
B,28774342,1,1552.1200000000001,1,Customer,250>x>50,Consumer Industries
B,163130,1,2041.53,1,Customer,<50,Service Industries
B,165787,1,2041.53,1,Customer,<50,Service Industries
B,1085170,1,2256.06,1,Consultant,>250,Energy and Natural Resources
A,50036213,1,3343.71,1,Prospective Customer,250>x>50,Discrete Industries
C,167554,1,0.0,1,Customer,250>x>50,Service Industries
C,3800835,1,0.0,1,Prospective Customer,250>x>50,Public Services
C,4943281,1,60.0,1,Prospective Customer,<50,Discrete Industries
C,26234945,1,61.02,1,Customer,250>x>50,Service Industries
C,28178575,1,250.0,1,Customer,250>x>50,Service Industries
C,28844896,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28844926,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28845644,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28845728,1,352.29999999999995,1,Customer,250>x>50,Consumer Industries
C,27915561,1,315.0,1,Customer,250>x>50,Service Industries
C,10365581,1,419.49,1,Press/Analyst,>250,Energy and Natural Resources
B,12247120,1,419.49,1,Consultant,>250,Financial Services
B,27226259,1,419.49,1,Customer,250>x>50,Service Industries
B,27838772,1,838.98,1,Customer,250>x>50,Service Industries
C,28842789,1,419.49,1,Customer,250>x>50,Consumer Industries
C,14346116,1,53.39,1,Consultant,>250,Financial Services
C,28842798,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28844898,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28845548,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28845612,1,419.49,1,Customer,250>x>50,Consumer Industries
B,28343812,1,479.0,1,Customer,250>x>50,Service Industries
C,4318072,1,686.09,1,Prospective Customer,250>x>50,Discrete Industries
B,15318748,1,823.62,1,Customer,250>x>50,Service Industries
B,7013527,1,1800.0,1,Prospective Customer,250>x>50,Discrete Industries
A,170063,1,1887.71,1,Customer,250>x>50,Service Industries
C,22916224,1,61.02,1,Customer,>250,Service Industries
C,26086782,1,132.2,1,Customer,250>x>50,Service Industries
C,31731,1,137.29,1,Prospective Customer,250>x>50,Public Services
C,5565346,1,147.0,1,Prospective Customer,250>x>50,Discrete Industries
C,24596476,1,416.13,1,Customer,<50,Service Industries
C,28852401,1,416.13,1,Customer,250>x>50,Consumer Industries
C,28848886,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28849115,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28852012,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28852203,1,419.49,1,Customer,250>x>50,Consumer Industries
C,9211623,1,419.49,1,Prospective Customer,<50,Discrete Industries
B,27343340,1,512.12,1,Customer,250>x>50,Service Industries
C,28849960,1,512.12,1,Customer,250>x>50,Consumer Industries
C,28849856,1,468.18,1,Customer,250>x>50,Consumer Industries
C,28852399,1,876.36,1,Customer,250>x>50,Consumer Industries
C,28852291,1,755.08,1,Customer,250>x>50,Consumer Industries
A,12869611,1,1800.0,1,Consultant,>250,Financial Services
A,28846733,1,5848.99,1,Customer,250>x>50,Consumer Industries
A,25547629,1,6572.03,1,Customer,250>x>50,Service Industries
A,164605,1,10697.039999999999,1,Customer,>250,Service Industries
A,161038,1,7200.0,1,Customer,<50,Service Industries
C,16303908,1,166.06,1,Customer,<50,Service Industries
C,28855526,1,250.0,1,Customer,250>x>50,Consumer Industries
C,162869,1,327.81,1,Customer,<50,Service Industries
C,28856201,1,377.54,1,Customer,250>x>50,Consumer Industries
C,5298138,1,400.0,1,Prospective Customer,250>x>50,Discrete Industries
C,26416684,1,419.49,1,Customer,<50,Service Industries
C,265672,1,419.49,1,Customer,<50,Service Industries
C,28855463,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28855562,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28856190,1,419.49,1,Customer,250>x>50,Consumer Industries
C,5361644,1,838.98,1,Prospective Customer,250>x>50,Discrete Industries
C,9804579,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
B,15127987,1,512.12,1,Customer,250>x>50,Service Industries
C,28855039,1,431.1,1,Customer,250>x>50,Consumer Industries
B,12138385,1,450.0,1,Consultant,>250,Financial Services
C,4864617,1,468.18,1,Prospective Customer,250>x>50,Discrete Industries
B,1162451,1,479.0,1,Consultant,>250,Financial Services
C,160454,1,479.0,1,Customer,250>x>50,Consumer Industries
C,28853803,1,479.0,1,Customer,250>x>50,Consumer Industries
C,6804140,1,675.0,1,Prospective Customer,250>x>50,Discrete Industries
B,28855044,1,1658.6599999999999,1,Customer,250>x>50,Consumer Industries
A,1155019,1,1800.0,1,Consultant,>250,Financial Services
A,167929,1,1800.0,1,Customer,250>x>50,Service Industries
A,14232546,1,3949.84,1,Consultant,>250,Financial Services
A,168228,1,9091.39,1,Customer,250>x>50,Service Industries
C,15194277,1,60.0,1,Customer,250>x>50,Service Industries
C,23797856,1,225.0,1,Customer,<50,Service Industries
C,28857152,1,419.49,1,Customer,250>x>50,Consumer Industries
C,4297207,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,26573752,1,53.39,1,Customer,<50,Service Industries
C,23082407,1,62.67,1,Customer,<50,Service Industries
C,50018956,1,603.87,1,Prospective Customer,250>x>50,Discrete Industries
C,7280041,1,53.39,1,Prospective Customer,250>x>50,Discrete Industries
C,9533958,1,60.0,1,Prospective Customer,250>x>50,Discrete Industries
C,28870392,1,75.0,1,Customer,250>x>50,Consumer Industries
C,1106232,1,139.35,1,Consultant,>250,Energy and Natural Resources
C,3276941,1,179.0,1,Prospective Customer,250>x>50,Public Services
C,28787949,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28859051,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28859661,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28860207,1,327.81,1,Customer,250>x>50,Consumer Industries
B,25383506,1,377.54,1,Customer,250>x>50,Service Industries
C,28858911,1,377.54,1,Customer,250>x>50,Consumer Industries
B,25274450,1,419.49,1,Customer,250>x>50,Service Industries
C,28858955,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28859631,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28859930,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28860638,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28860691,1,419.49,1,Customer,250>x>50,Consumer Industries
C,7252404,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,9155155,1,419.49,1,Prospective Customer,<50,Discrete Industries
C,9697140,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,28860660,1,431.1,1,Customer,250>x>50,Consumer Industries
C,4256459,1,479.0,1,Prospective Customer,250>x>50,Discrete Industries
C,1088053,1,498.0,1,Consultant,>250,Energy and Natural Resources
B,28190590,1,592.37,1,Customer,250>x>50,Service Industries
C,28860231,1,592.37,1,Customer,250>x>50,Consumer Industries
C,28859934,1,808.6099999999999,1,Customer,250>x>50,Consumer Industries
C,28859946,1,879.14,1,Customer,250>x>50,Consumer Industries
B,266656,1,1125.0,1,Customer,<50,Service Industries
B,28858992,1,1132.63,1,Customer,250>x>50,Consumer Industries
C,159990,1,53.39,1,Customer,<50,Service Industries
C,7060654,1,53.39,1,Prospective Customer,250>x>50,Discrete Industries
C,18386607,1,60.0,1,Customer,<50,Service Industries
C,25593314,1,60.0,1,Customer,250>x>50,Service Industries
C,3424825,1,139.35,1,Prospective Customer,250>x>50,Public Services
C,1174043,1,175.0,1,Consultant,>250,Financial Services
C,12805133,1,240.0,1,Consultant,>250,Financial Services
C,28864377,1,250.0,1,Customer,250>x>50,Consumer Industries
C,28863707,1,292.05,1,Customer,250>x>50,Consumer Industries
C,28860702,1,661.29,1,Customer,250>x>50,Consumer Industries
C,28860436,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28860448,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28862982,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28863914,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28863919,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28864373,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28864388,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28864395,1,419.49,1,Customer,250>x>50,Consumer Industries
C,6425555,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,28863120,1,450.0,1,Customer,250>x>50,Consumer Industries
B,1162437,1,603.87,1,Consultant,>250,Financial Services
C,28864371,1,755.08,1,Customer,250>x>50,Consumer Industries
C,3452194,1,958.0,1,Prospective Customer,250>x>50,Public Services
A,16694292,1,1357.63,1,Customer,250>x>50,Service Industries
A,162835,1,6200.0,1,Customer,<50,Service Industries
A,163774,1,6394.07,1,Customer,<50,Service Industries
A,1192391,1,9147.0,1,Consultant,>250,Financial Services
C,7200831,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,22453623,1,51.14,1,Customer,<50,Service Industries
C,25026401,1,53.39,1,Customer,<50,Service Industries
C,3925540,1,55.49,1,Prospective Customer,250>x>50,Discrete Industries
C,25610178,1,55.93,1,Customer,250>x>50,Service Industries
C,18841788,1,58.47,1,Customer,<50,Service Industries
C,1092076,1,60.0,1,Consultant,>250,Energy and Natural Resources
C,27511908,1,60.0,1,Customer,250>x>50,Service Industries
C,11446679,1,120.12,1,Consultant,>250,Financial Services
C,8700446,1,61.94,1,Prospective Customer,250>x>50,Discrete Industries
C,4625985,1,147.0,1,Prospective Customer,<50,Discrete Industries
C,28864881,1,156.78,1,Customer,250>x>50,Consumer Industries
C,28868838,1,250.0,1,Customer,250>x>50,Consumer Industries
B,21044428,1,397.69,1,Customer,250>x>50,Service Industries
B,21766997,1,419.49,1,Customer,250>x>50,Service Industries
C,24251441,1,419.49,1,Customer,<50,Service Industries
B,24939930,1,419.49,1,Customer,250>x>50,Service Industries
B,27598002,1,419.49,1,Customer,250>x>50,Service Industries
C,28869090,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28869238,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28869374,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28869409,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28869411,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28869671,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28870202,1,419.49,1,Customer,250>x>50,Consumer Industries
C,28870283,1,419.49,1,Customer,250>x>50,Consumer Industries
C,8365066,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,8401567,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,28869285,1,468.18,1,Customer,250>x>50,Consumer Industries
C,28869670,1,755.08,1,Customer,250>x>50,Consumer Industries
B,28868189,1,936.36,1,Customer,250>x>50,Consumer Industries
